date,symbol,action,quantity
2024-06-01,HG=F,sell,38
2024-10-20,GC=F,buy,94
2024-06-16,CL=F,buy,50
2024-09-11,GC=F,buy,27
2024-07-22,SI=F,buy,82
2024-07-06,GC=F,sell,69
2024-10-18,SI=F,buy,54
2024-08-07,SI=F,buy,89
2024-07-06,GC=F,buy,58
2024-06-02,SI=F,buy,45
2024-08-22,SI=F,sell,25
2024-09-11,CL=F,sell,22
2024-09-05,ALI=F,sell,51
2024-06-22,PA=F,buy,43
2024-06-12,SI=F,buy,57
2024-08-22,GC=F,buy,38
2024-10-03,PL=F,buy,80
2024-08-27,PA=F,sell,82
2024-09-15,PA=F,sell,28
2024-07-10,PA=F,buy,100
2024-10-09,ALI=F,sell,85
2024-10-20,SI=F,buy,32
2024-07-13,ALI=F,buy,62
2024-09-17,HG=F,sell,42
2024-07-23,GC=F,sell,58
2024-09-10,GC=F,sell,97
2024-06-23,CL=F,buy,83
2024-07-07,HG=F,buy,76
2024-10-13,GC=F,buy,16
2024-08-20,GC=F,buy,62
2024-06-29,ALI=F,sell,87
2024-10-11,PL=F,sell,89
2024-07-31,ALI=F,sell,97
2024-09-16,GC=F,sell,41
2024-07-01,CL=F,buy,95
2024-09-07,HG=F,buy,59
2024-07-26,SI=F,buy,36
2024-09-19,CL=F,sell,84
2024-08-25,PL=F,buy,94
2024-10-18,PA=F,sell,10
2024-09-30,PA=F,buy,51
2024-10-15,SI=F,sell,43
2024-08-26,HG=F,sell,19
2024-07-07,SI=F,sell,25
2024-10-11,PA=F,sell,45
2024-10-04,HG=F,sell,89
2024-07-26,SI=F,buy,18
2024-06-30,ALI=F,sell,93
2024-10-13,CL=F,buy,48
2024-06-27,SI=F,buy,60
2024-06-04,PL=F,sell,26
2024-06-05,SI=F,buy,10
2024-07-30,PA=F,sell,61
2024-06-15,PA=F,sell,71
2024-06-19,GC=F,buy,55
2024-08-26,PA=F,sell,48
2024-09-13,PL=F,sell,72
2024-09-27,GC=F,sell,22
2024-10-09,ALI=F,buy,53
2024-10-13,GC=F,sell,47
2024-09-21,ALI=F,buy,91
2024-06-20,SI=F,sell,75
2024-10-03,ALI=F,sell,48
2024-08-04,PA=F,buy,95
2024-08-16,PA=F,sell,48
2024-09-21,ALI=F,sell,79
2024-06-22,CL=F,sell,86
2024-07-27,PL=F,buy,37
2024-09-18,SI=F,buy,48
2024-09-07,CL=F,sell,75
2024-09-11,CL=F,buy,16
2024-08-09,PL=F,buy,91
2024-08-01,PL=F,buy,57
2024-08-12,HG=F,sell,54
2024-07-29,CL=F,buy,16
2024-07-01,ALI=F,sell,34
2024-07-07,ALI=F,sell,35
2024-09-03,HG=F,sell,65
2024-06-20,GC=F,sell,78
2024-08-31,CL=F,buy,77
2024-09-07,ALI=F,buy,63
2024-07-07,PL=F,sell,74
2024-09-06,SI=F,buy,65
2024-06-01,PA=F,buy,61
2024-08-28,CL=F,sell,88
2024-07-27,SI=F,buy,71
2024-08-04,PL=F,sell,19
2024-09-12,HG=F,buy,66
2024-06-10,HG=F,sell,30
2024-09-08,ALI=F,buy,65
2024-07-08,GC=F,buy,85
2024-06-22,GC=F,sell,74
2024-09-11,CL=F,buy,99
2024-09-13,HG=F,buy,97
2024-10-13,ALI=F,sell,35
2024-07-17,PL=F,sell,14
2024-06-19,HG=F,sell,35
2024-08-04,PA=F,buy,74
2024-09-21,CL=F,sell,73
2024-07-01,ALI=F,sell,100
2024-07-27,HG=F,buy,60
2024-07-23,CL=F,sell,25
2024-10-18,ALI=F,buy,94
2024-09-17,CL=F,sell,82
2024-10-17,SI=F,buy,90
2024-06-03,PA=F,sell,54
2024-10-19,GC=F,sell,99
2024-06-08,GC=F,sell,17
2024-07-01,GC=F,buy,59
2024-06-11,PL=F,sell,16
2024-09-14,HG=F,buy,36
2024-09-24,PL=F,sell,95
2024-09-17,CL=F,buy,23
2024-09-20,HG=F,buy,21
2024-09-21,HG=F,buy,90
2024-09-12,GC=F,buy,75
2024-08-18,CL=F,buy,26
2024-07-29,SI=F,sell,90
2024-10-15,SI=F,buy,14
2024-07-22,PA=F,sell,82
2024-07-27,PL=F,buy,56
2024-09-26,PA=F,buy,17
2024-10-02,PL=F,buy,88
2024-07-21,HG=F,sell,24
2024-09-09,PA=F,buy,25
2024-06-20,PA=F,buy,15
2024-07-23,PA=F,sell,91
2024-10-11,SI=F,sell,75
2024-08-08,CL=F,sell,40
2024-07-27,HG=F,buy,29
2024-10-14,PL=F,sell,23
2024-07-06,CL=F,sell,56
2024-09-25,PA=F,buy,73
2024-09-11,SI=F,buy,44
2024-06-11,ALI=F,buy,19
2024-10-01,HG=F,sell,12
2024-09-18,PA=F,buy,97
2024-09-09,SI=F,buy,18
2024-09-27,CL=F,sell,11
2024-07-14,SI=F,sell,12
2024-07-08,CL=F,buy,91
2024-08-03,PL=F,sell,43
2024-06-09,PA=F,sell,83
2024-06-02,ALI=F,buy,52
2024-10-18,HG=F,buy,77
2024-09-13,GC=F,buy,34
2024-09-02,CL=F,sell,80
2024-06-23,PL=F,sell,74
2024-06-27,PL=F,buy,15
2024-08-19,GC=F,buy,18
2024-06-03,HG=F,sell,32
2024-07-27,ALI=F,sell,39
2024-10-05,PL=F,sell,49
2024-06-17,ALI=F,sell,45
2024-06-21,PL=F,sell,87
2024-06-18,PL=F,sell,77
2024-10-09,PL=F,sell,57
2024-06-19,GC=F,buy,49
2024-10-06,GC=F,sell,48
2024-07-17,PA=F,sell,10
2024-08-31,GC=F,sell,11
2024-10-06,SI=F,sell,43
2024-08-11,HG=F,sell,42
2024-10-05,CL=F,sell,48
2024-08-25,PL=F,buy,32
2024-08-17,PL=F,buy,10
2024-07-19,SI=F,buy,77
2024-10-07,HG=F,sell,30
2024-07-07,PL=F,buy,77
2024-07-31,GC=F,sell,95
2024-10-02,GC=F,buy,30
2024-09-18,CL=F,sell,34
2024-10-16,GC=F,sell,31
2024-06-16,PA=F,sell,27
2024-09-05,GC=F,buy,56
2024-07-31,CL=F,buy,66
2024-07-04,HG=F,sell,47
2024-06-15,HG=F,buy,56
2024-10-20,PA=F,sell,64
2024-08-15,ALI=F,sell,41
2024-07-27,PL=F,buy,63
2024-08-04,PL=F,buy,25
2024-07-13,CL=F,sell,97
2024-07-07,CL=F,sell,29
2024-08-17,ALI=F,buy,24
2024-06-29,HG=F,buy,64
2024-09-14,ALI=F,sell,83
2024-06-01,PL=F,sell,78
2024-10-09,PA=F,buy,73
2024-07-02,CL=F,buy,49
2024-07-22,SI=F,buy,90
2024-06-16,PA=F,sell,22
2024-09-04,ALI=F,buy,74
2024-10-20,GC=F,sell,12
2024-08-31,CL=F,sell,24
2024-10-17,HG=F,sell,13
2024-09-04,SI=F,buy,43
2024-10-05,CL=F,buy,74
2024-08-29,PA=F,buy,11
2024-08-06,HG=F,sell,82
2024-09-16,PL=F,sell,33
2024-08-15,CL=F,buy,17
2024-07-31,CL=F,sell,48
2024-10-07,PL=F,buy,61
2024-10-10,GC=F,buy,84
2024-09-20,SI=F,sell,22
2024-07-18,SI=F,sell,17
2024-06-22,PA=F,sell,44
2024-06-25,SI=F,sell,38
2024-07-22,GC=F,buy,30
2024-06-09,GC=F,buy,95
2024-08-22,PL=F,sell,44
2024-08-12,HG=F,buy,48
2024-10-08,HG=F,sell,74
2024-08-27,PA=F,buy,59
2024-09-19,PL=F,sell,66
2024-06-16,SI=F,buy,57
2024-10-04,HG=F,sell,24
2024-08-15,GC=F,buy,53
2024-06-26,PL=F,sell,32
2024-08-22,PA=F,sell,11
2024-07-29,PA=F,buy,17
2024-08-23,CL=F,buy,18
2024-10-12,PL=F,buy,83
2024-09-22,ALI=F,buy,16
2024-09-26,PA=F,sell,36
2024-06-23,GC=F,buy,43
2024-09-06,HG=F,buy,68
2024-09-13,HG=F,sell,73
2024-09-15,HG=F,buy,42
2024-08-25,PL=F,sell,96
2024-07-03,PL=F,sell,88
2024-06-15,PA=F,buy,42
2024-08-11,CL=F,sell,42
2024-09-08,PA=F,buy,21
2024-09-19,GC=F,sell,77
2024-07-25,ALI=F,sell,52
2024-08-10,GC=F,buy,59
2024-09-25,ALI=F,buy,42
2024-07-10,PA=F,sell,85
2024-09-06,CL=F,sell,37
2024-07-07,CL=F,buy,45
2024-08-29,PA=F,sell,74
2024-07-31,HG=F,sell,72
2024-06-19,HG=F,buy,68
2024-07-11,PA=F,buy,87
2024-07-21,GC=F,buy,38
2024-07-31,SI=F,sell,89
2024-06-12,SI=F,buy,27
2024-10-16,PL=F,sell,100
2024-08-17,ALI=F,sell,83
2024-08-20,SI=F,buy,100
2024-08-17,PA=F,sell,36
2024-07-16,PL=F,buy,65
2024-06-20,GC=F,buy,81
2024-06-15,GC=F,buy,32
2024-09-26,ALI=F,buy,27
2024-08-06,GC=F,sell,49
2024-09-29,ALI=F,sell,71
2024-09-26,PL=F,buy,31
2024-08-15,ALI=F,sell,52
2024-08-09,PL=F,sell,52
2024-10-19,ALI=F,buy,46
2024-09-30,ALI=F,sell,13
2024-09-24,GC=F,buy,38
2024-07-10,ALI=F,sell,27
2024-10-05,GC=F,sell,23
2024-06-24,CL=F,sell,52
2024-06-10,HG=F,sell,69
2024-10-02,PA=F,sell,50
2024-08-14,SI=F,sell,36
2024-09-05,PA=F,buy,95
2024-10-11,PL=F,buy,96
2024-06-18,SI=F,buy,12
2024-08-25,SI=F,sell,31
2024-07-02,GC=F,sell,28
2024-07-14,PA=F,sell,85
2024-08-20,PL=F,sell,19
2024-07-09,ALI=F,buy,25
2024-10-09,PL=F,buy,33
2024-08-10,CL=F,buy,28
2024-07-06,GC=F,sell,25
2024-10-19,CL=F,sell,32
2024-10-14,HG=F,buy,47
2024-08-29,SI=F,buy,90
2024-08-10,GC=F,buy,96
2024-07-15,CL=F,buy,21
2024-06-29,CL=F,sell,74
2024-08-10,GC=F,sell,31
2024-06-13,CL=F,buy,78
2024-09-05,HG=F,buy,53
2024-07-11,HG=F,sell,32
2024-07-27,GC=F,buy,91
2024-08-13,ALI=F,buy,26
2024-08-30,SI=F,buy,20
2024-09-24,CL=F,sell,82
2024-08-04,PA=F,buy,86
2024-06-27,GC=F,sell,86
2024-09-05,ALI=F,sell,100
2024-08-15,GC=F,sell,33
2024-09-13,CL=F,sell,95
2024-08-11,SI=F,buy,30
2024-07-17,SI=F,sell,64
2024-10-07,SI=F,sell,76
2024-07-15,SI=F,sell,45
2024-07-25,CL=F,buy,100
2024-07-12,HG=F,sell,18
2024-09-25,CL=F,buy,100
2024-06-15,PL=F,sell,25
2024-06-16,GC=F,buy,77
2024-07-31,PL=F,buy,22
2024-08-28,CL=F,sell,67
2024-08-17,ALI=F,buy,67
2024-10-07,ALI=F,buy,71
2024-07-23,PL=F,buy,19
2024-07-10,CL=F,sell,53
2024-09-14,GC=F,buy,55
2024-07-20,CL=F,sell,14
2024-09-24,PA=F,sell,44
2024-08-15,HG=F,buy,15
2024-09-12,SI=F,sell,32
2024-07-12,HG=F,sell,50
2024-10-09,ALI=F,sell,92
2024-07-06,SI=F,buy,58
2024-07-17,CL=F,buy,87
2024-09-17,PL=F,buy,68
2024-07-06,CL=F,sell,41
2024-07-20,CL=F,sell,96
2024-06-06,PL=F,buy,20
2024-08-26,HG=F,sell,28
2024-09-22,PA=F,buy,46
2024-10-09,PL=F,sell,92
2024-06-30,PA=F,sell,94
2024-07-16,CL=F,sell,72
2024-08-31,GC=F,sell,35
